% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
51.64,985.94,27.96,14821,28703,5/10/2018 10:00:00 AM,5/10/2018 10:00:00 AM,22,14,5,5,50,775.2,1,2987,69,4,252.91,47,2,22,27141,883,569.53
45,418.67,22.21,11056,24570,5/13/2018 9:00:00 PM,5/13/2018 9:00:00 PM,735,11,5,5,21,853.23,1,1880,1160,1,182.71,22,1,22,23589,884,205.38
22.66,497.3,27.4,18462,81469,5/2/2018 11:00:00 PM,5/2/2018 11:00:00 PM,11,387.15,5,5,46,242.72,1,2931,56,12,292.03,404,3,22,54504,886,1
49.63,330.82,27.34,15146,30517,5/4/2018 7:00:00 AM,5/4/2018 7:00:00 AM,20,16,5,5,56,212.92,1,2966,65,5,279.56,986,1,22,29014,900,591.63
20.54,518.87,27.38,18081,88028,5/24/2018 11:00:00 PM,5/24/2018 11:00:00 PM,5,522.68,5,5,31,746.97,1,2683,44,13,296,547,3,22,61912,913,1
49.9,736.26,26.04,15301,30666,5/15/2018 5:00:00 AM,5/15/2018 5:00:00 AM,27,16,5,5,42,315.81,1,2841,70,4,239.95,711,1,22,29217,920,463.47
26.4,255.62,26.12,15062,57062,5/25/2018 12:00:00 PM,5/25/2018 12:00:00 PM,27,15,5,5,36,726.43,1,2875,68,4,260.11,969,1,22,42118,924,543.88
52,342.07,26.32,16183,31119,5/9/2018 6:00:00 AM,5/9/2018 6:00:00 AM,32,16,5,5,43,984.9,1,2984,77,4,259.66,943,1,22,29471,926,547
50.99,642.49,26.55,15358,30122,5/10/2018 12:00:00 PM,5/10/2018 12:00:00 PM,14,22,5,5,50,58.89,1,2984,59,4,242.23,0,2,22,28619,936,498.21
52.34,329.41,25.86,15633,29870,5/9/2018 5:00:00 AM,5/9/2018 5:00:00 AM,23,14,5,5,53,573.65,1,2866,71,4,249.2,747,1,22,28315,940,476.18
