% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
52.09,512.34,25.67,20908,40139,4/16/2018 2:00:00 PM,4/16/2018 2:00:00 PM,324,26,4,4,62,386.26,1,3782,413,6,338.14,837,2,33,38148,896,787.48
7.63,601.59,27.53,24645,322876,5/9/2018 6:00:00 PM,5/9/2018 6:00:00 PM,34,21,4,4,73,167.69,1,3714,106,7,377.83,807,2,33,186501,898,791.46
51.79,896.99,22.31,10598,20462,1/8/2018 2:00:00 AM,1/8/2018 2:00:00 AM,9,12,4,4,29,505.93,1,1820,40,3,225.4,296,1,33,19401,904,384.71
52.86,450.59,26.05,22144,41890,4/17/2018 2:00:00 PM,4/17/2018 2:00:00 PM,27,26,4,4,533,852.79,1,4181,181,6,350.13,962,2,33,39771,925,847
50.63,624.28,24.83,22769,44974,4/9/2018 3:00:00 PM,4/9/2018 3:00:00 PM,135,26,4,4,127,36.89,1,4174,240,7,346.9,134,3,33,42887,935,825.56
42.44,281.23,28.69,19042,44868,4/3/2018 9:00:00 PM,4/3/2018 9:00:00 PM,18,18,4,4,154,657.1,1,3290,101,8,283.96,66,3,34,36789,811,823.93
17.02,205.96,30.32,21161,124365,3/15/2018 6:00:00 PM,3/15/2018 6:00:00 PM,28,29,4,4,107,119.55,1,3979,101,6,348.64,840,2,34,81660,812,777.12
46.29,172.92,25.99,13551,29277,3/19/2018 5:00:00 AM,3/19/2018 5:00:00 AM,192,18,4,4,72,739.72,1,2620,600,15,266.9,694,3,34,27864,820,755.91
52.09,563.32,29.03,17770,34114,2/20/2018 8:00:00 PM,2/20/2018 8:00:00 PM,23,21,4,4,81,957.13,1,3701,90,6,336.29,845,2,34,32074,822,793.39
54.27,263.14,27.02,18671,34406,1/22/2018 3:00:00 PM,1/22/2018 3:00:00 PM,24,26,4,4,63,892.38,1,3890,89,6,339.95,840,2,34,32397,822,791.01
53.57,740.01,29,18820,35133,2/20/2018 7:00:00 PM,2/20/2018 7:00:00 PM,24,20,4,4,81,474.86,1,3846,95,6,347.32,853,2,34,32957,822,768.41
54.1,406.19,29.95,18691,34550,2/9/2018 5:00:00 PM,2/9/2018 5:00:00 PM,30,20,4,4,60,469.13,1,3867,94,7,341,856,2,34,32321,827,877.61
53.36,784.19,29.64,20247,37942,2/7/2018 6:00:00 PM,2/7/2018 6:00:00 PM,27,9.83,4,4,59,443.45,1,3945,93,9,355.14,355,3,34,35639,827,1
17.52,964.3,28.18,20417,116507,1/17/2018 9:00:00 PM,1/17/2018 9:00:00 PM,16,22,4,4,53,717.13,1,3574,87,5,320.06,345,2,34,76047,828,641.15
54.31,784.57,27.25,19467,35845,3/19/2018 2:00:00 PM,3/19/2018 2:00:00 PM,54,21,4,4,105,289.93,1,4165,124,7,357.97,996,2,34,33699,830,839.84
49.76,336.47,26.73,18139,36453,5/7/2018 8:00:00 AM,5/7/2018 8:00:00 AM,400,21,4,4,84,654.15,1,3037,523,5,276.29,232,2,34,34741,830,640.68
53.11,779.51,26.09,16448,30972,1/8/2018 10:00:00 AM,1/8/2018 10:00:00 AM,29,19,4,4,45,941.83,1,3494,81,16,348.89,147,4,34,29160,830,830.67
17.02,581.61,27.94,18629,109459,2/26/2018 9:00:00 PM,2/26/2018 9:00:00 PM,26,23,4,4,74,136.75,1,3676,90,6,334.1,565,2,34,72573,832,687.21
19.36,771.91,28.12,19115,98741,1/17/2018 10:00:00 PM,1/17/2018 10:00:00 PM,28,16,4,4,48,365.69,1,3396,94,5,301.08,130,2,34,62445,832,560.69
14.95,567.51,29.5,19627,131290,2/22/2018 7:00:00 PM,2/22/2018 7:00:00 PM,29,19,4,4,83,61.94,1,3697,101,6,351.84,657,2,34,79940,833,730.34
11.92,947.78,29.24,20147,169004,3/1/2018 2:00:00 PM,3/1/2018 2:00:00 PM,20,22,4,4,232,347.55,1,3714,98,6,380.91,530,2,34,94642,834,691.22
17.33,981.21,27.56,20409,117792,1/16/2018 8:00:00 PM,1/16/2018 8:00:00 PM,22,20,4,4,57,909.77,1,3894,91,6,340.09,764,2,34,75068,834,729.28
52.09,880.6,26.01,20660,39661,5/7/2018 6:00:00 AM,5/7/2018 6:00:00 AM,475,413.58,4,4,50,938.99,1,2952,588,6,265.08,518,2,34,38098,834,1
50.48,465.93,26.06,17393,34459,4/23/2018 7:00:00 AM,4/23/2018 7:00:00 AM,655,21,4,4,90,731.88,1,3004,876,5,276.99,197,2,34,32835,834,655.46
21.7,502.4,27.71,20034,92318,1/23/2018 6:00:00 PM,1/23/2018 6:00:00 PM,20,22,4,4,56,270.86,1,4041,89,7,355.65,880,2,34,61418,835,843.74
18.81,319.15,29.04,20924,111236,5/16/2018 2:00:00 PM,5/16/2018 2:00:00 PM,22,19,4,4,68,418.75,1,3739,90,6,346.74,730,2,34,75846,836,791.98
50.92,458.98,25.73,13835,27172,3/19/2018 6:00:00 AM,3/19/2018 6:00:00 AM,69,21,4,4,78,790.52,1,2614,113,5,268.33,38,2,34,25753,836,641.8
15.3,521.4,29.64,21927,143329,2/28/2018 6:00:00 PM,2/28/2018 6:00:00 PM,31,22,4,4,79,940.8,1,4078,102,6,361.27,117,3,34,91406,836,827.94
58.05,291.72,27.72,24650,42466,3/26/2018 6:00:00 PM,3/26/2018 6:00:00 PM,25,324.65,4,4,154,476.54,1,6766,108,25,340.11,382,6,34,40058,836,1
17.46,199.55,27.64,20151,115439,2/26/2018 8:00:00 PM,2/26/2018 8:00:00 PM,23,21,4,4,131,768.04,1,4212,97,6,364.63,702,2,34,77786,837,765.75
